timestamp,CO,NH3,NO2,Ozone,PM10,PM2.5,SO2,AQI
2023-01-01 01:00:00,0.7,11.21,5.43,5.44,77.68,72.81,9.86,141.31689655172414
2023-01-01 02:00:00,0.48,11.14,5.41,5.25,76.8,61.84,9.88,103.86758620689656
2023-01-01 03:00:00,0.44,11.11,5.41,5.38,78.59,52.93,10.01,88.05413793103449
2023-01-01 04:00:00,0.44,11.31,5.34,5.45,73.31,46.9,9.87,77.86551724137931
2023-01-01 05:00:00,0.46,11.29,5.35,5.26,69.85,42.69,9.94,70.75206896551724
2023-01-01 06:00:00,0.53,11.08,5.4,10.24,67.71,39.74,9.96,67.71
2023-01-01 07:00:00,0.56,11.55,5.48,13.49,67.04,38.12,9.89,67.04
2023-01-01 08:00:00,0.64,11.33,5.46,15.24,69.24,41.51,9.99,69.24
2023-01-01 09:00:00,0.68,11.4,5.49,15.37,69.44,52.68,9.76,87.63172413793103
2023-01-01 10:00:00,0.55,11.36,5.49,15.22,72.75,53.5,9.86,89.01724137931035
2023-01-01 11:00:00,0.45,10.9,5.46,15.47,69.45,47.3,9.84,78.54137931034482
2023-01-01 12:00:00,0.5,10.99,5.4,15.35,66.49,42.97,9.89,71.2251724137931
2023-01-01 13:00:00,0.55,11.17,5.43,15.49,64.96,39.93,10.0,66.08862068965517
2023-01-01 14:00:00,0.74,11.14,5.43,15.47,68.5,44.51,9.78,73.82724137931034
2023-01-01 15:00:00,1.14,11.28,5.32,15.35,77.14,63.92,9.86,110.96827586206896
2023-01-01 16:00:00,0.32,11.12,5.29,15.45,74.03,57.78,9.97,96.24896551724137
2023-01-01 17:00:00,1.07,11.28,5.42,15.63,76.76,63.54,9.92,109.67103448275861
2023-01-01 18:00:00,1.06,11.46,5.41,9.47,76.59,54.33,9.77,90.4196551724138
2023-01-01 19:00:00,1.19,11.2,5.37,9.56,73.57,47.88,9.92,79.52137931034483
2023-01-01 20:00:00,1.21,11.13,5.41,8.49,76.11,43.38,9.92,76.11
2023-01-01 21:00:00,1.29,11.29,5.3,5.32,74.6,45.49,9.99,75.48310344827587
2023-01-01 22:00:00,1.16,11.19,5.47,4.61,79.52,59.68,9.86,99.45931034482759
2023-01-01 23:00:00,1.1,11.53,5.45,4.27,73.4,50.96,9.78,84.72551724137932
2023-01-02 00:00:00,0.82,11.11,5.47,3.06,71.05,45.79,9.9,75.99
2023-01-02 01:00:00,0.61,11.28,5.42,5.38,74.44,42.9,9.93,74.44
2023-01-02 02:00:00,0.49,11.35,5.38,5.32,71.38,40.96,9.8,71.38
2023-01-02 03:00:00,0.41,11.11,5.4,6.33,68.53,39.3,9.89,68.53
2023-01-02 04:00:00,0.44,11.47,5.36,7.28,67.28,40.71,9.93,67.40655172413793
2023-01-02 05:00:00,0.53,11.27,5.49,10.41,68.99,48.88,9.84,81.21103448275863
2023-01-02 06:00:00,0.51,11.3,5.4,13.38,66.85,44.2,9.94,73.30344827586208
2023-01-02 07:00:00,0.63,11.23,5.33,15.3,68.5,41.39,9.96,68.5555172413793
2023-01-02 08:00:00,0.79,11.18,5.45,15.32,69.11,39.64,9.91,69.11
2023-01-02 09:00:00,0.96,11.29,5.31,15.23,67.99,38.54,9.87,67.99
2023-01-02 10:00:00,1.18,11.19,5.47,15.39,65.83,37.57,9.86,65.83
2023-01-02 11:00:00,1.08,11.09,5.45,15.32,65.11,40.68,9.94,67.35586206896552
2023-01-02 12:00:00,0.88,11.12,5.56,15.38,67.09,50.38,10.02,83.74551724137932
2023-01-02 13:00:00,0.65,11.31,5.36,15.27,68.57,45.24,9.8,75.06068965517241
2023-01-02 14:00:00,0.91,11.21,5.33,15.38,68.42,42.16,10.03,69.85655172413793
2023-01-02 15:00:00,0.97,11.4,5.34,15.36,76.27,40.47,9.95,76.27
2023-01-02 16:00:00,0.72,11.19,5.38,15.29,76.12,40.82,9.92,76.12
2023-01-02 17:00:00,0.76,11.2,5.56,15.26,80.12,48.11,9.88,80.12
2023-01-02 18:00:00,0.91,11.38,5.56,15.41,87.68,57.28,9.87,95.40413793103448
2023-01-02 19:00:00,1.02,11.15,5.4,15.33,80.87,49.95,9.85,83.01896551724138
2023-01-02 20:00:00,0.42,11.32,5.44,15.34,81.75,53.29,9.96,88.66241379310344
2023-01-02 21:00:00,0.92,11.45,5.45,15.28,78.29,76.0,9.72,152.20689655172413
2023-01-02 22:00:00,0.92,11.0,5.28,12.43,75.95,61.9,9.96,104.07241379310344
2023-01-02 23:00:00,0.77,11.17,5.45,10.0,76.1,52.95,9.88,88.08793103448276
2023-01-03 00:00:00,0.62,11.39,5.4,5.37,73.74,47.22,9.95,78.40620689655172
2023-01-03 01:00:00,0.39,11.22,5.43,3.32,71.0,43.98,9.89,72.93172413793103
2023-01-03 02:00:00,0.39,11.14,5.43,3.55,67.38,40.64,9.85,67.38
2023-01-03 03:00:00,0.28,10.94,5.39,5.27,65.68,38.3,9.9,65.68
2023-01-03 04:00:00,0.34,11.34,5.27,5.5,67.7,36.75,9.8,67.7
2023-01-03 05:00:00,0.35,11.25,5.4,9.25,70.11,36.14,9.8,70.11
2023-01-03 06:00:00,0.4,11.08,5.36,11.35,71.63,36.12,9.84,71.63
2023-01-03 07:00:00,0.61,11.34,5.3,13.33,68.23,35.57,9.79,68.23
2023-01-03 08:00:00,0.69,11.12,5.38,15.36,66.88,37.29,9.8,66.88
2023-01-03 09:00:00,0.77,11.13,5.38,20.32,69.56,46.67,9.86,77.47689655172414
2023-01-03 10:00:00,0.67,11.1,5.39,21.41,70.62,56.24,9.87,93.64689655172414
2023-01-03 11:00:00,1.2,11.24,5.43,21.33,67.42,49.95,9.93,83.01896551724138
2023-01-03 12:00:00,0.78,11.22,5.27,22.51,65.85,44.82,9.97,74.35103448275862
2023-01-03 13:00:00,0.82,11.32,5.44,20.44,64.67,41.23,9.8,68.2851724137931
2023-01-03 14:00:00,0.7,11.25,5.28,15.26,65.23,41.05,10.05,67.98103448275862
2023-01-03 15:00:00,0.68,11.38,5.42,15.37,71.16,47.07,9.97,78.15275862068965
2023-01-03 16:00:00,0.76,11.18,5.42,15.34,71.79,45.03,9.94,74.70586206896552
2023-01-03 17:00:00,0.41,11.32,5.4,15.37,74.61,43.99,9.93,74.61
2023-01-03 18:00:00,1.03,11.34,5.42,15.22,73.29,40.98,9.95,73.29
2023-01-03 19:00:00,1.23,11.03,5.45,15.39,70.61,40.03,9.77,70.61
2023-01-03 20:00:00,1.03,11.03,5.25,15.46,75.13,42.35,9.92,75.13
2023-01-03 21:00:00,1.05,11.15,5.4,15.26,79.31,44.33,10.01,79.31
2023-01-03 22:00:00,0.87,11.44,5.31,13.52,73.29,47.78,9.91,79.35241379310345
2023-01-03 23:00:00,0.78,11.53,5.35,10.4,68.99,43.3,9.84,71.78275862068965
2023-01-04 00:00:00,0.49,11.35,5.43,4.27,65.98,44.8,9.87,74.31724137931035
2023-01-04 01:00:00,0.51,11.57,5.54,4.85,64.48,57.26,9.94,95.3703448275862
2023-01-04 02:00:00,0.48,11.32,5.38,4.84,65.75,50.26,9.94,83.54275862068965
2023-01-04 03:00:00,0.46,11.05,5.35,8.17,66.78,44.89,9.94,74.46931034482759
2023-01-04 04:00:00,0.4,11.51,5.29,8.71,66.34,41.33,9.98,68.45413793103448
2023-01-04 05:00:00,0.36,11.31,5.32,10.34,65.1,38.97,9.89,65.1
2023-01-04 06:00:00,0.38,11.08,5.43,10.2,65.66,37.13,9.85,65.66
2023-01-04 07:00:00,0.6,11.11,5.37,10.32,65.26,40.44,9.87,66.9503448275862
2023-01-04 08:00:00,0.82,11.36,5.28,10.3,69.34,53.79,9.9,89.50724137931034
2023-01-04 09:00:00,1.05,11.13,5.44,10.14,66.7,47.04,10.03,78.10206896551725
2023-01-04 10:00:00,1.27,11.08,5.42,15.44,65.4,42.98,9.94,71.24206896551723
2023-01-04 11:00:00,0.7,11.13,5.4,19.14,64.16,39.94,10.24,66.1055172413793
2023-01-04 12:00:00,0.74,11.45,5.36,26.22,63.73,37.81,10.29,63.73
2023-01-04 13:00:00,0.6,11.33,5.39,25.9,64.67,39.07,10.24,64.67
