_id,year,month,date,time,location,indicator,unit,value,note
283,2023,April,01-04-2023,01:00,MALAKPET,Xylene,ug/m3,3.83,
284,2023,April,01-04-2023,01:00,MALAKPET,SR,W/m2,0,
285,2023,April,01-04-2023,01:00,MALAKPET,Temp,degreC,30.07,
286,2023,April,01-04-2023,01:00,MALAKPET,WS,m/s,0.07,
287,2023,April,01-04-2023,01:00,MALAKPET,RH,%,54.05,
288,2023,April,01-04-2023,01:00,MALAKPET,WD,DEGREE,182.43,
289,2023,April,01-04-2023,01:00,MALAKPET,MP-Xylene,ug/m3,1.87,
290,2023,April,01-04-2023,01:00,MALAKPET,NH3,ug/m3,8.52,
291,2023,April,01-04-2023,01:00,MALAKPET,Ozone,ug/m3,21.23,
292,2023,April,01-04-2023,01:00,MALAKPET,PM10,ug/m3,88.98,
293,2023,April,01-04-2023,01:00,MALAKPET,PM2.5,ug/m3,36.46,
294,2023,April,01-04-2023,01:00,MALAKPET,NO2,ug/m3,8.38,
295,2023,April,01-04-2023,01:00,MALAKPET,NOx,ppb,13.69,
296,2023,April,01-04-2023,01:00,MALAKPET,NO,ug/m3,5.16,
297,2023,April,01-04-2023,01:00,MALAKPET,SO2,ug/m3,9.8,
298,2023,April,01-04-2023,01:00,MALAKPET,Benzene,ug/m3,0.99,
299,2023,April,01-04-2023,01:00,MALAKPET,ETHBENZ,ug/m3,2.54,
300,2023,April,01-04-2023,01:00,MALAKPET,Toluene,ug/m3,0.47,
301,2023,April,01-04-2023,01:00,MALAKPET,CO,mg/m3,0.46,
546,2023,April,01-04-2023,02:00,MALAKPET,SO2,ug/m3,9.73,
547,2023,April,01-04-2023,02:00,MALAKPET,PM2.5,ug/m3,32.84,
548,2023,April,01-04-2023,02:00,MALAKPET,PM10,ug/m3,88.14,
549,2023,April,01-04-2023,02:00,MALAKPET,WS,m/s,0.05,
550,2023,April,01-04-2023,02:00,MALAKPET,Benzene,ug/m3,1,
551,2023,April,01-04-2023,02:00,MALAKPET,RH,%,62.58,
552,2023,April,01-04-2023,02:00,MALAKPET,Toluene,ug/m3,0.46,
553,2023,April,01-04-2023,02:00,MALAKPET,SR,W/m2,0,
554,2023,April,01-04-2023,02:00,MALAKPET,ETHBENZ,ug/m3,2.59,
555,2023,April,01-04-2023,02:00,MALAKPET,Xylene,ug/m3,3.89,
556,2023,April,01-04-2023,02:00,MALAKPET,MP-Xylene,ug/m3,1.89,
557,2023,April,01-04-2023,02:00,MALAKPET,Temp,degreC,29.59,
558,2023,April,01-04-2023,02:00,MALAKPET,CO,mg/m3,0.47,
559,2023,April,01-04-2023,02:00,MALAKPET,NOx,ppb,13.51,
560,2023,April,01-04-2023,02:00,MALAKPET,NO,ug/m3,5.18,
561,2023,April,01-04-2023,02:00,MALAKPET,Ozone,ug/m3,15.33,
562,2023,April,01-04-2023,02:00,MALAKPET,NO2,ug/m3,8.54,
563,2023,April,01-04-2023,02:00,MALAKPET,NH3,ug/m3,8.61,
564,2023,April,01-04-2023,02:00,MALAKPET,WD,DEGREE,166.73,
809,2023,April,01-04-2023,03:00,MALAKPET,WS,m/s,0.01,
810,2023,April,01-04-2023,03:00,MALAKPET,WD,DEGREE,85.11,
811,2023,April,01-04-2023,03:00,MALAKPET,RH,%,72.23,
812,2023,April,01-04-2023,03:00,MALAKPET,PM10,ug/m3,90.25,
813,2023,April,01-04-2023,03:00,MALAKPET,Temp,degreC,27.43,
814,2023,April,01-04-2023,03:00,MALAKPET,Ozone,ug/m3,9.36,
815,2023,April,01-04-2023,03:00,MALAKPET,NH3,ug/m3,8.49,
816,2023,April,01-04-2023,03:00,MALAKPET,CO,mg/m3,0.63,
817,2023,April,01-04-2023,03:00,MALAKPET,NO2,ug/m3,8.44,
818,2023,April,01-04-2023,03:00,MALAKPET,NO,ug/m3,5.07,
819,2023,April,01-04-2023,03:00,MALAKPET,NOx,ppb,13.56,
820,2023,April,01-04-2023,03:00,MALAKPET,Benzene,ug/m3,0.97,
821,2023,April,01-04-2023,03:00,MALAKPET,PM2.5,ug/m3,32.89,
822,2023,April,01-04-2023,03:00,MALAKPET,SR,W/m2,0,
823,2023,April,01-04-2023,03:00,MALAKPET,Xylene,ug/m3,3.81,
824,2023,April,01-04-2023,03:00,MALAKPET,MP-Xylene,ug/m3,1.88,
825,2023,April,01-04-2023,03:00,MALAKPET,ETHBENZ,ug/m3,2.56,
826,2023,April,01-04-2023,03:00,MALAKPET,Toluene,ug/m3,0.46,
827,2023,April,01-04-2023,03:00,MALAKPET,SO2,ug/m3,9.91,
1072,2023,April,01-04-2023,04:00,MALAKPET,Temp,degreC,27.14,
1073,2023,April,01-04-2023,04:00,MALAKPET,Ozone,ug/m3,5.6,
1074,2023,April,01-04-2023,04:00,MALAKPET,Toluene,ug/m3,0.47,
1075,2023,April,01-04-2023,04:00,MALAKPET,WD,DEGREE,132.75,
1076,2023,April,01-04-2023,04:00,MALAKPET,NH3,ug/m3,8.54,
1077,2023,April,01-04-2023,04:00,MALAKPET,RH,%,75.53,
1078,2023,April,01-04-2023,04:00,MALAKPET,Benzene,ug/m3,0.97,
1079,2023,April,01-04-2023,04:00,MALAKPET,MP-Xylene,ug/m3,1.88,
1080,2023,April,01-04-2023,04:00,MALAKPET,PM2.5,ug/m3,32,
1081,2023,April,01-04-2023,04:00,MALAKPET,ETHBENZ,ug/m3,2.56,
1082,2023,April,01-04-2023,04:00,MALAKPET,Xylene,ug/m3,3.84,
1083,2023,April,01-04-2023,04:00,MALAKPET,SR,W/m2,0,
1084,2023,April,01-04-2023,04:00,MALAKPET,PM10,ug/m3,90.57,
1085,2023,April,01-04-2023,04:00,MALAKPET,NO,ug/m3,5.05,
1086,2023,April,01-04-2023,04:00,MALAKPET,NOx,ppb,13.71,
1087,2023,April,01-04-2023,04:00,MALAKPET,CO,mg/m3,0.68,
1088,2023,April,01-04-2023,04:00,MALAKPET,SO2,ug/m3,9.88,
