_id,year,month,date,time,location,indicator,unit,value,note
735,2023,August,01-08-2023,04:00,MALAKPET,NH3,ug/m3,POWER ISSUE,
736,2023,August,01-08-2023,04:00,MALAKPET,MP-Xylene,ug/m3,,
737,2023,August,01-08-2023,04:00,MALAKPET,Benzene,ug/m3,,
738,2023,August,01-08-2023,04:00,MALAKPET,NO,ug/m3,,
739,2023,August,01-08-2023,04:00,MALAKPET,NO2,ug/m3,,
740,2023,August,01-08-2023,04:00,MALAKPET,ETHBENZ,ug/m3,,
741,2023,August,01-08-2023,04:00,MALAKPET,Toluene,ug/m3,,
742,2023,August,01-08-2023,04:00,MALAKPET,Ozone,ug/m3,,
743,2023,August,01-08-2023,04:00,MALAKPET,WD,DEGREE,,
744,2023,August,01-08-2023,04:00,MALAKPET,RH,%,,
745,2023,August,01-08-2023,04:00,MALAKPET,WS,m/s,,
746,2023,August,01-08-2023,04:00,MALAKPET,RF,m m,,
747,2023,August,01-08-2023,04:00,MALAKPET,SR,W/m2,,
748,2023,August,01-08-2023,04:00,MALAKPET,SO2,ug/m3,,
749,2023,August,01-08-2023,04:00,MALAKPET,CO,mg/m3,,
750,2023,August,01-08-2023,04:00,MALAKPET,Xylene,ug/m3,,
751,2023,August,01-08-2023,04:00,MALAKPET,NOx,ppb,,
752,2023,August,01-08-2023,04:00,MALAKPET,Temp,degreC,,
753,2023,August,01-08-2023,04:00,MALAKPET,PM10,ug/m3,,
754,2023,August,01-08-2023,04:00,MALAKPET,PM2.5,ug/m3,,
1635,2023,August,01-08-2023,09:00,MALAKPET,NH3,ug/m3,,
1636,2023,August,01-08-2023,09:00,MALAKPET,RF,m m,,
1637,2023,August,01-08-2023,09:00,MALAKPET,Toluene,ug/m3,0,
1638,2023,August,01-08-2023,09:00,MALAKPET,WS,m/s,0.04,
1639,2023,August,01-08-2023,09:00,MALAKPET,NO,ug/m3,,
1640,2023,August,01-08-2023,09:00,MALAKPET,NO2,ug/m3,,
1641,2023,August,01-08-2023,09:00,MALAKPET,ETHBENZ,ug/m3,0,
1642,2023,August,01-08-2023,09:00,MALAKPET,Temp,degreC,24.84,
1643,2023,August,01-08-2023,09:00,MALAKPET,CO,mg/m3,0.98,
1644,2023,August,01-08-2023,09:00,MALAKPET,SR,W/m2,118.5,
1645,2023,August,01-08-2023,09:00,MALAKPET,SO2,ug/m3,,
1646,2023,August,01-08-2023,09:00,MALAKPET,PM10,ug/m3,70.27,
1647,2023,August,01-08-2023,09:00,MALAKPET,PM2.5,ug/m3,33.26,
1648,2023,August,01-08-2023,09:00,MALAKPET,Benzene,ug/m3,0,
1649,2023,August,01-08-2023,09:00,MALAKPET,NOx,ppb,,
1650,2023,August,01-08-2023,09:00,MALAKPET,WD,DEGREE,115.25,
1651,2023,August,01-08-2023,09:00,MALAKPET,MP-Xylene,ug/m3,0,
1652,2023,August,01-08-2023,09:00,MALAKPET,Xylene,ug/m3,0,
1653,2023,August,01-08-2023,09:00,MALAKPET,Ozone,ug/m3,30.39,
1654,2023,August,01-08-2023,09:00,MALAKPET,RH,%,77.61,
1827,2023,August,01-08-2023,10:00,MALAKPET,Benzene,ug/m3,0.5,
1828,2023,August,01-08-2023,10:00,MALAKPET,NH3,ug/m3,,
1829,2023,August,01-08-2023,10:00,MALAKPET,Ozone,ug/m3,10.46,
1830,2023,August,01-08-2023,10:00,MALAKPET,RF,m m,0,
1831,2023,August,01-08-2023,10:00,MALAKPET,Xylene,ug/m3,1.42,
1832,2023,August,01-08-2023,10:00,MALAKPET,CO,mg/m3,0.16,
1833,2023,August,01-08-2023,10:00,MALAKPET,SR,W/m2,336.8,
1834,2023,August,01-08-2023,10:00,MALAKPET,SO2,ug/m3,13.27,
1835,2023,August,01-08-2023,10:00,MALAKPET,PM2.5,ug/m3,34.65,
1836,2023,August,01-08-2023,10:00,MALAKPET,PM10,ug/m3,67.38,
1837,2023,August,01-08-2023,10:00,MALAKPET,Temp,degreC,25.75,
1838,2023,August,01-08-2023,10:00,MALAKPET,RH,%,73.97,
1839,2023,August,01-08-2023,10:00,MALAKPET,NOx,ppb,,
1840,2023,August,01-08-2023,10:00,MALAKPET,Toluene,ug/m3,0.62,
1841,2023,August,01-08-2023,10:00,MALAKPET,WS,m/s,0.03,
1842,2023,August,01-08-2023,10:00,MALAKPET,NO2,ug/m3,,
1843,2023,August,01-08-2023,10:00,MALAKPET,ETHBENZ,ug/m3,1.25,
1844,2023,August,01-08-2023,10:00,MALAKPET,WD,DEGREE,113.34,
1845,2023,August,01-08-2023,10:00,MALAKPET,NO,ug/m3,,
1846,2023,August,01-08-2023,10:00,MALAKPET,MP-Xylene,ug/m3,0.92,
2078,2023,August,01-08-2023,11:00,MALAKPET,Ozone,ug/m3,9.82,
2079,2023,August,01-08-2023,11:00,MALAKPET,MP-Xylene,ug/m3,1.77,
2080,2023,August,01-08-2023,11:00,MALAKPET,SO2,ug/m3,1.97,
2081,2023,August,01-08-2023,11:00,MALAKPET,Toluene,ug/m3,1.17,
2082,2023,August,01-08-2023,11:00,MALAKPET,Temp,degreC,26.99,
2083,2023,August,01-08-2023,11:00,MALAKPET,PM2.5,ug/m3,31.51,
2084,2023,August,01-08-2023,11:00,MALAKPET,Benzene,ug/m3,0.98,
2085,2023,August,01-08-2023,11:00,MALAKPET,RH,%,69.16,
2086,2023,August,01-08-2023,11:00,MALAKPET,NO2,ug/m3,4.17,
2087,2023,August,01-08-2023,11:00,MALAKPET,NO,ug/m3,2.1,
2088,2023,August,01-08-2023,11:00,MALAKPET,NOx,ppb,6.27,
2089,2023,August,01-08-2023,11:00,MALAKPET,NH3,ug/m3,8.5,
2090,2023,August,01-08-2023,11:00,MALAKPET,Xylene,ug/m3,2.49,
2091,2023,August,01-08-2023,11:00,MALAKPET,SR,W/m2,481.4,
2092,2023,August,01-08-2023,11:00,MALAKPET,ETHBENZ,ug/m3,2.45,
2093,2023,August,01-08-2023,11:00,MALAKPET,CO,mg/m3,0.05,
2094,2023,August,01-08-2023,11:00,MALAKPET,WD,DEGREE,94.91,
2095,2023,August,01-08-2023,11:00,MALAKPET,WS,m/s,0.03,
2096,2023,August,01-08-2023,11:00,MALAKPET,RF,m m,0,
2097,2023,August,01-08-2023,11:00,MALAKPET,PM10,ug/m3,65.75,
2329,2023,August,01-08-2023,12:00,MALAKPET,WS,m/s,0.04,
2330,2023,August,01-08-2023,12:00,MALAKPET,WD,DEGREE,96.52,
2331,2023,August,01-08-2023,12:00,MALAKPET,Benzene,ug/m3,0.97,
2332,2023,August,01-08-2023,12:00,MALAKPET,RH,%,67.63,
2333,2023,August,01-08-2023,12:00,MALAKPET,Toluene,ug/m3,1.14,
2334,2023,August,01-08-2023,12:00,MALAKPET,Xylene,ug/m3,2.25,
2335,2023,August,01-08-2023,12:00,MALAKPET,SR,W/m2,320.9,
2336,2023,August,01-08-2023,12:00,MALAKPET,ETHBENZ,ug/m3,2.41,
2337,2023,August,01-08-2023,12:00,MALAKPET,Temp,degreC,27.3,
2338,2023,August,01-08-2023,12:00,MALAKPET,MP-Xylene,ug/m3,1.72,
2339,2023,August,01-08-2023,12:00,MALAKPET,RF,m m,0,
2340,2023,August,01-08-2023,12:00,MALAKPET,PM10,ug/m3,64.69,
2341,2023,August,01-08-2023,12:00,MALAKPET,PM2.5,ug/m3,29.13,
2342,2023,August,01-08-2023,12:00,MALAKPET,SO2,ug/m3,5.74,
2343,2023,August,01-08-2023,12:00,MALAKPET,CO,mg/m3,0.07,
2344,2023,August,01-08-2023,12:00,MALAKPET,NOx,ppb,12.8,
2345,2023,August,01-08-2023,12:00,MALAKPET,NO,ug/m3,5.58,
2346,2023,August,01-08-2023,12:00,MALAKPET,NH3,ug/m3,10.2,
2347,2023,August,01-08-2023,12:00,MALAKPET,Ozone,ug/m3,9.65,
2348,2023,August,01-08-2023,12:00,MALAKPET,NO2,ug/m3,7.22,
2580,2023,August,01-08-2023,13:00,MALAKPET,Toluene,ug/m3,1.13,
2581,2023,August,01-08-2023,13:00,MALAKPET,WS,m/s,0.03,
2582,2023,August,01-08-2023,13:00,MALAKPET,MP-Xylene,ug/m3,1.71,
2583,2023,August,01-08-2023,13:00,MALAKPET,RF,m m,0,
2584,2023,August,01-08-2023,13:00,MALAKPET,NH3,ug/m3,9.94,
2585,2023,August,01-08-2023,13:00,MALAKPET,Benzene,ug/m3,0.96,
2586,2023,August,01-08-2023,13:00,MALAKPET,Ozone,ug/m3,11.52,
2587,2023,August,01-08-2023,13:00,MALAKPET,NOx,ppb,12.72,
2588,2023,August,01-08-2023,13:00,MALAKPET,NO2,ug/m3,7.5,
2589,2023,August,01-08-2023,13:00,MALAKPET,SO2,ug/m3,8.27,
2590,2023,August,01-08-2023,13:00,MALAKPET,Xylene,ug/m3,2.12,
2591,2023,August,01-08-2023,13:00,MALAKPET,Temp,degreC,28.34,
2592,2023,August,01-08-2023,13:00,MALAKPET,SR,W/m2,579.8,
2593,2023,August,01-08-2023,13:00,MALAKPET,CO,mg/m3,0.47,
2594,2023,August,01-08-2023,13:00,MALAKPET,WD,DEGREE,105.55,
2595,2023,August,01-08-2023,13:00,MALAKPET,PM10,ug/m3,64.03,
2596,2023,August,01-08-2023,13:00,MALAKPET,RH,%,63.71,
2597,2023,August,01-08-2023,13:00,MALAKPET,ETHBENZ,ug/m3,2.43,
2598,2023,August,01-08-2023,13:00,MALAKPET,PM2.5,ug/m3,29.36,
2599,2023,August,01-08-2023,13:00,MALAKPET,NO,ug/m3,5.22,
2831,2023,August,01-08-2023,14:00,MALAKPET,NO2,ug/m3,7.47,
2832,2023,August,01-08-2023,14:00,MALAKPET,NH3,ug/m3,9.53,
2833,2023,August,01-08-2023,14:00,MALAKPET,RF,m m,0,
2834,2023,August,01-08-2023,14:00,MALAKPET,Ozone,ug/m3,13.71,
2835,2023,August,01-08-2023,14:00,MALAKPET,Benzene,ug/m3,0.96,
2836,2023,August,01-08-2023,14:00,MALAKPET,WS,m/s,0.04,
2837,2023,August,01-08-2023,14:00,MALAKPET,NO,ug/m3,5.14,
2838,2023,August,01-08-2023,14:00,MALAKPET,PM2.5,ug/m3,26.33,
2839,2023,August,01-08-2023,14:00,MALAKPET,PM10,ug/m3,65.03,
2840,2023,August,01-08-2023,14:00,MALAKPET,SO2,ug/m3,8.41,
2841,2023,August,01-08-2023,14:00,MALAKPET,CO,mg/m3,0.32,
2842,2023,August,01-08-2023,14:00,MALAKPET,NOx,ppb,12.6,
2843,2023,August,01-08-2023,14:00,MALAKPET,Toluene,ug/m3,1.13,
2844,2023,August,01-08-2023,14:00,MALAKPET,RH,%,64.16,
2845,2023,August,01-08-2023,14:00,MALAKPET,WD,DEGREE,101.63,
2846,2023,August,01-08-2023,14:00,MALAKPET,SR,W/m2,295.4,
