_id,year,month,date,time,location,indicator,unit,value,note
95653,2023,February,16-02-2023,10:00,MALAKPET,PM2.5,ug/m3,4.53,
95654,2023,February,16-02-2023,10:00,MALAKPET,MP-Xylene,ug/m3,3.09,
95655,2023,February,16-02-2023,10:00,MALAKPET,ETHBENZ,ug/m3,0.96,
95656,2023,February,16-02-2023,10:00,MALAKPET,Toluene,ug/m3,1.04,
95657,2023,February,16-02-2023,10:00,MALAKPET,NO2,ug/m3,9.62,
95658,2023,February,16-02-2023,10:00,MALAKPET,NO,ug/m3,5.39,
95659,2023,February,16-02-2023,10:00,MALAKPET,Benzene,ug/m3,1.2,
95660,2023,February,16-02-2023,10:00,MALAKPET,PM10,ug/m3,96.22,
95661,2023,February,16-02-2023,10:00,MALAKPET,NOx,ppb,15.05,
95662,2023,February,16-02-2023,10:00,MALAKPET,Ozone,ug/m3,26.95,
95663,2023,February,16-02-2023,10:00,MALAKPET,NH3,ug/m3,10.21,
95664,2023,February,16-02-2023,10:00,MALAKPET,Temp,degreC,34.79,
95665,2023,February,16-02-2023,10:00,MALAKPET,RH,%,20.01,
95666,2023,February,16-02-2023,10:00,MALAKPET,WD,DEGREE,97.96,
95667,2023,February,16-02-2023,10:00,MALAKPET,SO2,ug/m3,10.4,
95668,2023,February,16-02-2023,10:00,MALAKPET,WS,m/s,0.02,
95669,2023,February,16-02-2023,10:00,MALAKPET,Xylene,ug/m3,3.41,
95670,2023,February,16-02-2023,10:00,MALAKPET,SR,W/m2,362.8,
95671,2023,February,16-02-2023,10:00,MALAKPET,CO,mg/m3,1.66,
95916,2023,February,16-02-2023,11:00,MALAKPET,Temp,degreC,39.88,
95917,2023,February,16-02-2023,11:00,MALAKPET,NH3,ug/m3,9.84,
95918,2023,February,16-02-2023,11:00,MALAKPET,Ozone,ug/m3,17.12,
95919,2023,February,16-02-2023,11:00,MALAKPET,WS,m/s,0.04,
95920,2023,February,16-02-2023,11:00,MALAKPET,WD,DEGREE,35.94,
95921,2023,February,16-02-2023,11:00,MALAKPET,PM2.5,ug/m3,28.14,
95922,2023,February,16-02-2023,11:00,MALAKPET,MP-Xylene,ug/m3,3.19,
95923,2023,February,16-02-2023,11:00,MALAKPET,RH,%,13.76,
95924,2023,February,16-02-2023,11:00,MALAKPET,NO,ug/m3,5.23,
95925,2023,February,16-02-2023,11:00,MALAKPET,NO2,ug/m3,11.24,
95926,2023,February,16-02-2023,11:00,MALAKPET,SR,W/m2,482.7,
95927,2023,February,16-02-2023,11:00,MALAKPET,SO2,ug/m3,9.96,
95928,2023,February,16-02-2023,11:00,MALAKPET,NOx,ppb,16.55,
95929,2023,February,16-02-2023,11:00,MALAKPET,Benzene,ug/m3,1.02,
95930,2023,February,16-02-2023,11:00,MALAKPET,ETHBENZ,ug/m3,0.86,
95931,2023,February,16-02-2023,11:00,MALAKPET,Toluene,ug/m3,1.28,
95932,2023,February,16-02-2023,11:00,MALAKPET,CO,mg/m3,1.25,
95933,2023,February,16-02-2023,11:00,MALAKPET,Xylene,ug/m3,4.1,
95934,2023,February,16-02-2023,11:00,MALAKPET,PM10,ug/m3,100.33,
96179,2023,February,16-02-2023,12:00,MALAKPET,MP-Xylene,ug/m3,3.36,
96180,2023,February,16-02-2023,12:00,MALAKPET,Ozone,ug/m3,16.94,
96181,2023,February,16-02-2023,12:00,MALAKPET,Benzene,ug/m3,1,
96182,2023,February,16-02-2023,12:00,MALAKPET,Toluene,ug/m3,1.26,
96183,2023,February,16-02-2023,12:00,MALAKPET,ETHBENZ,ug/m3,0.85,
96184,2023,February,16-02-2023,12:00,MALAKPET,CO,mg/m3,0.91,
96185,2023,February,16-02-2023,12:00,MALAKPET,NOx,ppb,16.38,
96186,2023,February,16-02-2023,12:00,MALAKPET,SO2,ug/m3,9.84,
96187,2023,February,16-02-2023,12:00,MALAKPET,NO,ug/m3,5.15,
96188,2023,February,16-02-2023,12:00,MALAKPET,NO2,ug/m3,11.14,
96189,2023,February,16-02-2023,12:00,MALAKPET,PM10,ug/m3,109.12,
96190,2023,February,16-02-2023,12:00,MALAKPET,NH3,ug/m3,9.76,
96191,2023,February,16-02-2023,12:00,MALAKPET,PM2.5,ug/m3,46.28,
96192,2023,February,16-02-2023,12:00,MALAKPET,Xylene,ug/m3,4.07,
96193,2023,February,16-02-2023,12:00,MALAKPET,Temp,degreC,38.08,
96194,2023,February,16-02-2023,12:00,MALAKPET,RH,%,19.51,
96195,2023,February,16-02-2023,12:00,MALAKPET,SR,W/m2,563.1,
96196,2023,February,16-02-2023,12:00,MALAKPET,WS,m/s,0.04,
96197,2023,February,16-02-2023,12:00,MALAKPET,WD,DEGREE,22.07,
96442,2023,February,16-02-2023,13:00,MALAKPET,NO2,ug/m3,11.13,
96443,2023,February,16-02-2023,13:00,MALAKPET,WD,DEGREE,7.61,
96444,2023,February,16-02-2023,13:00,MALAKPET,RH,%,18.7,
96445,2023,February,16-02-2023,13:00,MALAKPET,NO,ug/m3,5.1,
96446,2023,February,16-02-2023,13:00,MALAKPET,WS,m/s,0.03,
96447,2023,February,16-02-2023,13:00,MALAKPET,NOx,ppb,16.38,
96448,2023,February,16-02-2023,13:00,MALAKPET,Xylene,ug/m3,4.07,
96449,2023,February,16-02-2023,13:00,MALAKPET,NH3,ug/m3,9.76,
96450,2023,February,16-02-2023,13:00,MALAKPET,Toluene,ug/m3,1.26,
96451,2023,February,16-02-2023,13:00,MALAKPET,ETHBENZ,ug/m3,0.85,
96452,2023,February,16-02-2023,13:00,MALAKPET,SR,W/m2,586.3,
96453,2023,February,16-02-2023,13:00,MALAKPET,MP-Xylene,ug/m3,3.27,
96454,2023,February,16-02-2023,13:00,MALAKPET,Ozone,ug/m3,16.81,
96455,2023,February,16-02-2023,13:00,MALAKPET,Temp,degreC,37.3,
96456,2023,February,16-02-2023,13:00,MALAKPET,Benzene,ug/m3,0.99,
96457,2023,February,16-02-2023,13:00,MALAKPET,CO,mg/m3,0.76,
96458,2023,February,16-02-2023,13:00,MALAKPET,SO2,ug/m3,9.76,
96459,2023,February,16-02-2023,13:00,MALAKPET,PM10,ug/m3,110.23,
96460,2023,February,16-02-2023,13:00,MALAKPET,PM2.5,ug/m3,25.62,
96705,2023,February,16-02-2023,14:00,MALAKPET,Xylene,ug/m3,4.17,
96706,2023,February,16-02-2023,14:00,MALAKPET,RH,%,17.27,
96707,2023,February,16-02-2023,14:00,MALAKPET,Temp,degreC,39.12,
96708,2023,February,16-02-2023,14:00,MALAKPET,SR,W/m2,546.4,
96709,2023,February,16-02-2023,14:00,MALAKPET,Toluene,ug/m3,1.17,
96710,2023,February,16-02-2023,14:00,MALAKPET,NO2,ug/m3,11.93,
96711,2023,February,16-02-2023,14:00,MALAKPET,NO,ug/m3,4.97,
96712,2023,February,16-02-2023,14:00,MALAKPET,PM10,ug/m3,,
96713,2023,February,16-02-2023,14:00,MALAKPET,PM2.5,ug/m3,,
96714,2023,February,16-02-2023,14:00,MALAKPET,NOx,ppb,15.38,
96715,2023,February,16-02-2023,14:00,MALAKPET,CO,mg/m3,1.09,
96716,2023,February,16-02-2023,14:00,MALAKPET,SO2,ug/m3,9.58,
96717,2023,February,16-02-2023,14:00,MALAKPET,NH3,ug/m3,10.01,
96718,2023,February,16-02-2023,14:00,MALAKPET,MP-Xylene,ug/m3,3.26,
96719,2023,February,16-02-2023,14:00,MALAKPET,ETHBENZ,ug/m3,0.92,
96720,2023,February,16-02-2023,14:00,MALAKPET,Benzene,ug/m3,0.95,
96721,2023,February,16-02-2023,14:00,MALAKPET,Ozone,ug/m3,16.51,
96722,2023,February,16-02-2023,14:00,MALAKPET,WD,DEGREE,13.5,
96723,2023,February,16-02-2023,14:00,MALAKPET,WS,m/s,0.05,
96968,2023,February,16-02-2023,15:00,MALAKPET,ETHBENZ,ug/m3,0.86,
96969,2023,February,16-02-2023,15:00,MALAKPET,Toluene,ug/m3,1.25,
96970,2023,February,16-02-2023,15:00,MALAKPET,SO2,ug/m3,10.06,
96971,2023,February,16-02-2023,15:00,MALAKPET,Benzene,ug/m3,1.03,
96972,2023,February,16-02-2023,15:00,MALAKPET,NO2,ug/m3,11.28,
96973,2023,February,16-02-2023,15:00,MALAKPET,NO,ug/m3,5.29,
96974,2023,February,16-02-2023,15:00,MALAKPET,NOx,ppb,16.26,
96975,2023,February,16-02-2023,15:00,MALAKPET,Ozone,ug/m3,27.42,
96976,2023,February,16-02-2023,15:00,MALAKPET,NH3,ug/m3,10,
96977,2023,February,16-02-2023,15:00,MALAKPET,CO,mg/m3,0.75,
96978,2023,February,16-02-2023,15:00,MALAKPET,Temp,degreC,39.26,
96979,2023,February,16-02-2023,15:00,MALAKPET,PM2.5,ug/m3,35.98,
96980,2023,February,16-02-2023,15:00,MALAKPET,SR,W/m2,506.7,
96981,2023,February,16-02-2023,15:00,MALAKPET,WS,m/s,0.04,
96982,2023,February,16-02-2023,15:00,MALAKPET,WD,DEGREE,17.4,
96983,2023,February,16-02-2023,15:00,MALAKPET,RH,%,16.62,
96984,2023,February,16-02-2023,15:00,MALAKPET,Xylene,ug/m3,4.17,
96985,2023,February,16-02-2023,15:00,MALAKPET,PM10,ug/m3,112.1,
96986,2023,February,16-02-2023,15:00,MALAKPET,MP-Xylene,ug/m3,3.3,
97231,2023,February,16-02-2023,16:00,MALAKPET,PM2.5,ug/m3,63.48,
97232,2023,February,16-02-2023,16:00,MALAKPET,NOx,ppb,16.63,
97233,2023,February,16-02-2023,16:00,MALAKPET,SO2,ug/m3,9.9,
97234,2023,February,16-02-2023,16:00,MALAKPET,PM10,ug/m3,119.78,
97235,2023,February,16-02-2023,16:00,MALAKPET,CO,mg/m3,0.62,
97236,2023,February,16-02-2023,16:00,MALAKPET,Xylene,ug/m3,4.13,
97237,2023,February,16-02-2023,16:00,MALAKPET,MP-Xylene,ug/m3,3.28,
97238,2023,February,16-02-2023,16:00,MALAKPET,ETHBENZ,ug/m3,0.87,
97239,2023,February,16-02-2023,16:00,MALAKPET,Toluene,ug/m3,1.28,
97240,2023,February,16-02-2023,16:00,MALAKPET,WD,DEGREE,23.72,
97241,2023,February,16-02-2023,16:00,MALAKPET,RH,%,17,
97242,2023,February,16-02-2023,16:00,MALAKPET,WS,m/s,0.05,
97243,2023,February,16-02-2023,16:00,MALAKPET,Temp,degreC,38.66,
