_id,year,month,date,time,location,indicator,unit,value,note
264,2023,January,01-01-2023,01:00,MALAKPET,WD,DEGREE,156.17,
265,2023,January,01-01-2023,01:00,MALAKPET,RH,%,59.08,
266,2023,January,01-01-2023,01:00,MALAKPET,Temp,degreC,25.43,
267,2023,January,01-01-2023,01:00,MALAKPET,SR,W/m2,0,
268,2023,January,01-01-2023,01:00,MALAKPET,WS,m/s,0.08,
269,2023,January,01-01-2023,01:00,MALAKPET,Xylene,ug/m3,3.24,
270,2023,January,01-01-2023,01:00,MALAKPET,CO,mg/m3,0.7,
271,2023,January,01-01-2023,01:00,MALAKPET,Ozone,ug/m3,5.44,
272,2023,January,01-01-2023,01:00,MALAKPET,NOx,ppb,14.86,
273,2023,January,01-01-2023,01:00,MALAKPET,NO2,ug/m3,5.43,
274,2023,January,01-01-2023,01:00,MALAKPET,NO,ug/m3,9.5,
275,2023,January,01-01-2023,01:00,MALAKPET,NH3,ug/m3,11.21,
276,2023,January,01-01-2023,01:00,MALAKPET,Benzene,ug/m3,1.01,
277,2023,January,01-01-2023,01:00,MALAKPET,PM10,ug/m3,77.68,
278,2023,January,01-01-2023,01:00,MALAKPET,MP-Xylene,ug/m3,4.91,
279,2023,January,01-01-2023,01:00,MALAKPET,ETHBENZ,ug/m3,3.62,
280,2023,January,01-01-2023,01:00,MALAKPET,Toluene,ug/m3,1.66,
281,2023,January,01-01-2023,01:00,MALAKPET,PM2.5,ug/m3,72.81,
282,2023,January,01-01-2023,01:00,MALAKPET,SO2,ug/m3,9.86,
508,2023,January,01-01-2023,02:00,MALAKPET,SO2,ug/m3,9.88,
509,2023,January,01-01-2023,02:00,MALAKPET,PM2.5,ug/m3,61.84,
510,2023,January,01-01-2023,02:00,MALAKPET,CO,mg/m3,0.48,
511,2023,January,01-01-2023,02:00,MALAKPET,NOx,ppb,15.17,
512,2023,January,01-01-2023,02:00,MALAKPET,NO,ug/m3,9.31,
513,2023,January,01-01-2023,02:00,MALAKPET,PM10,ug/m3,76.8,
514,2023,January,01-01-2023,02:00,MALAKPET,WD,DEGREE,163.74,
515,2023,January,01-01-2023,02:00,MALAKPET,RH,%,58.11,
516,2023,January,01-01-2023,02:00,MALAKPET,Temp,degreC,25.71,
517,2023,January,01-01-2023,02:00,MALAKPET,SR,W/m2,0,
518,2023,January,01-01-2023,02:00,MALAKPET,Xylene,ug/m3,3.22,
519,2023,January,01-01-2023,02:00,MALAKPET,WS,m/s,0.08,
520,2023,January,01-01-2023,02:00,MALAKPET,Ozone,ug/m3,5.25,
521,2023,January,01-01-2023,02:00,MALAKPET,Toluene,ug/m3,1.71,
522,2023,January,01-01-2023,02:00,MALAKPET,Benzene,ug/m3,0.96,
523,2023,January,01-01-2023,02:00,MALAKPET,NH3,ug/m3,11.14,
524,2023,January,01-01-2023,02:00,MALAKPET,MP-Xylene,ug/m3,4.99,
525,2023,January,01-01-2023,02:00,MALAKPET,ETHBENZ,ug/m3,3.61,
526,2023,January,01-01-2023,02:00,MALAKPET,NO2,ug/m3,5.41,
752,2023,January,01-01-2023,03:00,MALAKPET,NO,ug/m3,9.45,
753,2023,January,01-01-2023,03:00,MALAKPET,Toluene,ug/m3,1.65,
754,2023,January,01-01-2023,03:00,MALAKPET,PM10,ug/m3,78.59,
755,2023,January,01-01-2023,03:00,MALAKPET,ETHBENZ,ug/m3,3.61,
756,2023,January,01-01-2023,03:00,MALAKPET,MP-Xylene,ug/m3,4.97,
757,2023,January,01-01-2023,03:00,MALAKPET,Xylene,ug/m3,3.21,
758,2023,January,01-01-2023,03:00,MALAKPET,PM2.5,ug/m3,52.93,
759,2023,January,01-01-2023,03:00,MALAKPET,NOx,ppb,14.78,
760,2023,January,01-01-2023,03:00,MALAKPET,NO2,ug/m3,5.41,
761,2023,January,01-01-2023,03:00,MALAKPET,NH3,ug/m3,11.11,
762,2023,January,01-01-2023,03:00,MALAKPET,CO,mg/m3,0.44,
763,2023,January,01-01-2023,03:00,MALAKPET,Ozone,ug/m3,5.38,
764,2023,January,01-01-2023,03:00,MALAKPET,SO2,ug/m3,10.01,
765,2023,January,01-01-2023,03:00,MALAKPET,Benzene,ug/m3,1,
766,2023,January,01-01-2023,03:00,MALAKPET,Temp,degreC,23.64,
767,2023,January,01-01-2023,03:00,MALAKPET,RH,%,61.34,
768,2023,January,01-01-2023,03:00,MALAKPET,WD,DEGREE,152.61,
769,2023,January,01-01-2023,03:00,MALAKPET,WS,m/s,0.08,
770,2023,January,01-01-2023,03:00,MALAKPET,SR,W/m2,0,
996,2023,January,01-01-2023,04:00,MALAKPET,Benzene,ug/m3,1.01,
997,2023,January,01-01-2023,04:00,MALAKPET,NH3,ug/m3,11.31,
998,2023,January,01-01-2023,04:00,MALAKPET,Ozone,ug/m3,5.45,
999,2023,January,01-01-2023,04:00,MALAKPET,Toluene,ug/m3,1.69,
1000,2023,January,01-01-2023,04:00,MALAKPET,RH,%,63.88,
1001,2023,January,01-01-2023,04:00,MALAKPET,Temp,degreC,24.34,
1002,2023,January,01-01-2023,04:00,MALAKPET,SR,W/m2,0,
1003,2023,January,01-01-2023,04:00,MALAKPET,Xylene,ug/m3,3.27,
1004,2023,January,01-01-2023,04:00,MALAKPET,MP-Xylene,ug/m3,5.01,
1005,2023,January,01-01-2023,04:00,MALAKPET,ETHBENZ,ug/m3,3.57,
1006,2023,January,01-01-2023,04:00,MALAKPET,NO2,ug/m3,5.34,
1007,2023,January,01-01-2023,04:00,MALAKPET,NO,ug/m3,9.51,
1008,2023,January,01-01-2023,04:00,MALAKPET,NOx,ppb,15.02,
1009,2023,January,01-01-2023,04:00,MALAKPET,CO,mg/m3,0.44,
1010,2023,January,01-01-2023,04:00,MALAKPET,SO2,ug/m3,9.87,
1011,2023,January,01-01-2023,04:00,MALAKPET,PM2.5,ug/m3,46.9,
1012,2023,January,01-01-2023,04:00,MALAKPET,PM10,ug/m3,73.31,
1013,2023,January,01-01-2023,04:00,MALAKPET,WD,DEGREE,150.14,
1014,2023,January,01-01-2023,04:00,MALAKPET,WS,m/s,0.09,
1240,2023,January,01-01-2023,05:00,MALAKPET,PM2.5,ug/m3,42.69,
1241,2023,January,01-01-2023,05:00,MALAKPET,SO2,ug/m3,9.94,
