_id,year,month,date,time,location,indicator,unit,value,note
264,2023,July,01-07-2023,01:00,MALAKPET,Xylene,ug/m3,2.44,
265,2023,July,01-07-2023,01:00,MALAKPET,MP-Xylene,ug/m3,1.8,
266,2023,July,01-07-2023,01:00,MALAKPET,ETHBENZ,ug/m3,3.08,
267,2023,July,01-07-2023,01:00,MALAKPET,Toluene,ug/m3,1.06,
268,2023,July,01-07-2023,01:00,MALAKPET,Benzene,ug/m3,1.01,
269,2023,July,01-07-2023,01:00,MALAKPET,Ozone,ug/m3,8.25,
270,2023,July,01-07-2023,01:00,MALAKPET,NH3,ug/m3,6.19,
271,2023,July,01-07-2023,01:00,MALAKPET,NO2,ug/m3,7.69,
272,2023,July,01-07-2023,01:00,MALAKPET,SR,W/m2,0,
273,2023,July,01-07-2023,01:00,MALAKPET,NO,ug/m3,4.8,
274,2023,July,01-07-2023,01:00,MALAKPET,CO,mg/m3,0.3,
275,2023,July,01-07-2023,01:00,MALAKPET,SO2,ug/m3,10.54,
276,2023,July,01-07-2023,01:00,MALAKPET,PM2.5,ug/m3,36.86,
277,2023,July,01-07-2023,01:00,MALAKPET,PM10,ug/m3,71.53,
278,2023,July,01-07-2023,01:00,MALAKPET,NOx,ppb,12.49,
279,2023,July,01-07-2023,01:00,MALAKPET,Temp,degreC,42.52,
280,2023,July,01-07-2023,01:00,MALAKPET,RH,%,45.04,
281,2023,July,01-07-2023,01:00,MALAKPET,WS,m/s,0.03,
282,2023,July,01-07-2023,01:00,MALAKPET,WD,DEGREE,56.23,
508,2023,July,01-07-2023,02:00,MALAKPET,ETHBENZ,ug/m3,3.02,
509,2023,July,01-07-2023,02:00,MALAKPET,Toluene,ug/m3,1.05,
510,2023,July,01-07-2023,02:00,MALAKPET,Benzene,ug/m3,1.01,
511,2023,July,01-07-2023,02:00,MALAKPET,Ozone,ug/m3,7.49,
512,2023,July,01-07-2023,02:00,MALAKPET,NH3,ug/m3,5.86,
513,2023,July,01-07-2023,02:00,MALAKPET,NO2,ug/m3,7.33,
514,2023,July,01-07-2023,02:00,MALAKPET,NO,ug/m3,3.44,
515,2023,July,01-07-2023,02:00,MALAKPET,NOx,ppb,10.77,
516,2023,July,01-07-2023,02:00,MALAKPET,CO,mg/m3,0.23,
517,2023,July,01-07-2023,02:00,MALAKPET,SO2,ug/m3,7.44,
518,2023,July,01-07-2023,02:00,MALAKPET,PM2.5,ug/m3,33.51,
