_id,year,month,date,time,location,indicator,unit,value,note
3697,2023,June,02-06-2023,01:00,MALAKPET,WD,DEGREE,137.52,
3698,2023,June,02-06-2023,01:00,MALAKPET,RH,%,29.24,
3699,2023,June,02-06-2023,01:00,MALAKPET,Temp,degreC,41.7,
3700,2023,June,02-06-2023,01:00,MALAKPET,SR,W/m2,0,
3701,2023,June,02-06-2023,01:00,MALAKPET,WS,m/s,0.05,
3702,2023,June,02-06-2023,01:00,MALAKPET,Xylene,ug/m3,2.78,
3703,2023,June,02-06-2023,01:00,MALAKPET,CO,mg/m3,0.66,
3704,2023,June,02-06-2023,01:00,MALAKPET,Ozone,ug/m3,23.2,
3705,2023,June,02-06-2023,01:00,MALAKPET,NOx,ppb,12.92,
3706,2023,June,02-06-2023,01:00,MALAKPET,NO2,ug/m3,8.67,
3707,2023,June,02-06-2023,01:00,MALAKPET,NO,ug/m3,4.26,
3708,2023,June,02-06-2023,01:00,MALAKPET,NH3,ug/m3,8.2,
3709,2023,June,02-06-2023,01:00,MALAKPET,Benzene,ug/m3,0.26,
3710,2023,June,02-06-2023,01:00,MALAKPET,PM10,ug/m3,72.57,
3711,2023,June,02-06-2023,01:00,MALAKPET,MP-Xylene,ug/m3,1.13,
3712,2023,June,02-06-2023,01:00,MALAKPET,ETHBENZ,ug/m3,2.09,
3713,2023,June,02-06-2023,01:00,MALAKPET,Toluene,ug/m3,0.39,
3714,2023,June,02-06-2023,01:00,MALAKPET,PM2.5,ug/m3,36.04,
3715,2023,June,02-06-2023,01:00,MALAKPET,SO2,ug/m3,13.64,
3941,2023,June,02-06-2023,02:00,MALAKPET,SO2,ug/m3,9.55,
3942,2023,June,02-06-2023,02:00,MALAKPET,PM2.5,ug/m3,30.28,
3943,2023,June,02-06-2023,02:00,MALAKPET,CO,mg/m3,0.47,
3944,2023,June,02-06-2023,02:00,MALAKPET,NOx,ppb,12.82,
3945,2023,June,02-06-2023,02:00,MALAKPET,NO,ug/m3,4.21,
3946,2023,June,02-06-2023,02:00,MALAKPET,PM10,ug/m3,69.46,
3947,2023,June,02-06-2023,02:00,MALAKPET,WD,DEGREE,125.07,
3948,2023,June,02-06-2023,02:00,MALAKPET,RH,%,32.65,
3949,2023,June,02-06-2023,02:00,MALAKPET,Temp,degreC,42.17,
3950,2023,June,02-06-2023,02:00,MALAKPET,SR,W/m2,0,
3951,2023,June,02-06-2023,02:00,MALAKPET,Xylene,ug/m3,2.66,
3952,2023,June,02-06-2023,02:00,MALAKPET,WS,m/s,0.04,
3953,2023,June,02-06-2023,02:00,MALAKPET,Ozone,ug/m3,24.64,
3954,2023,June,02-06-2023,02:00,MALAKPET,Toluene,ug/m3,0.32,
3955,2023,June,02-06-2023,02:00,MALAKPET,Benzene,ug/m3,0.22,
3956,2023,June,02-06-2023,02:00,MALAKPET,NH3,ug/m3,8.18,
3957,2023,June,02-06-2023,02:00,MALAKPET,MP-Xylene,ug/m3,1.1,
3958,2023,June,02-06-2023,02:00,MALAKPET,ETHBENZ,ug/m3,1.7,
3959,2023,June,02-06-2023,02:00,MALAKPET,NO2,ug/m3,8.78,
4185,2023,June,02-06-2023,03:00,MALAKPET,NO,ug/m3,4.2,
4186,2023,June,02-06-2023,03:00,MALAKPET,Toluene,ug/m3,0.28,
4187,2023,June,02-06-2023,03:00,MALAKPET,PM10,ug/m3,68.54,
4188,2023,June,02-06-2023,03:00,MALAKPET,ETHBENZ,ug/m3,1.54,
4189,2023,June,02-06-2023,03:00,MALAKPET,MP-Xylene,ug/m3,1.08,
4190,2023,June,02-06-2023,03:00,MALAKPET,Xylene,ug/m3,2.59,
4191,2023,June,02-06-2023,03:00,MALAKPET,PM2.5,ug/m3,29.41,
4192,2023,June,02-06-2023,03:00,MALAKPET,NOx,ppb,12.84,
4193,2023,June,02-06-2023,03:00,MALAKPET,NO2,ug/m3,8.6,
4194,2023,June,02-06-2023,03:00,MALAKPET,NH3,ug/m3,8.16,
4195,2023,June,02-06-2023,03:00,MALAKPET,CO,mg/m3,0.33,
4196,2023,June,02-06-2023,03:00,MALAKPET,Ozone,ug/m3,24.56,
4197,2023,June,02-06-2023,03:00,MALAKPET,SO2,ug/m3,8.43,
4198,2023,June,02-06-2023,03:00,MALAKPET,Benzene,ug/m3,0.19,
4199,2023,June,02-06-2023,03:00,MALAKPET,Temp,degreC,42.08,
4200,2023,June,02-06-2023,03:00,MALAKPET,RH,%,34.63,
4201,2023,June,02-06-2023,03:00,MALAKPET,WD,DEGREE,111.46,
4202,2023,June,02-06-2023,03:00,MALAKPET,WS,m/s,0.04,
4203,2023,June,02-06-2023,03:00,MALAKPET,SR,W/m2,0,
4429,2023,June,02-06-2023,04:00,MALAKPET,Benzene,ug/m3,0.18,
4430,2023,June,02-06-2023,04:00,MALAKPET,NH3,ug/m3,8.23,
4431,2023,June,02-06-2023,04:00,MALAKPET,Ozone,ug/m3,24.93,
4432,2023,June,02-06-2023,04:00,MALAKPET,Toluene,ug/m3,0.27,
4433,2023,June,02-06-2023,04:00,MALAKPET,RH,%,36.94,
4434,2023,June,02-06-2023,04:00,MALAKPET,Temp,degreC,44.51,
4435,2023,June,02-06-2023,04:00,MALAKPET,SR,W/m2,0,
4436,2023,June,02-06-2023,04:00,MALAKPET,Xylene,ug/m3,2.54,
4437,2023,June,02-06-2023,04:00,MALAKPET,MP-Xylene,ug/m3,1.07,
4438,2023,June,02-06-2023,04:00,MALAKPET,ETHBENZ,ug/m3,1.42,
4439,2023,June,02-06-2023,04:00,MALAKPET,NO2,ug/m3,8.65,
