_id,year,month,date,time,location,indicator,unit,value,note
264,2023,March,01-03-2023,01:00,MALAKPET,PM10,ug/m3,80.85,
265,2023,March,01-03-2023,01:00,MALAKPET,PM2.5,ug/m3,26.88,
266,2023,March,01-03-2023,01:00,MALAKPET,SO2,ug/m3,9.8,
267,2023,March,01-03-2023,01:00,MALAKPET,CO,mg/m3,0.45,
268,2023,March,01-03-2023,01:00,MALAKPET,NOx,ppb,14.75,
269,2023,March,01-03-2023,01:00,MALAKPET,NO,ug/m3,5.42,
270,2023,March,01-03-2023,01:00,MALAKPET,NO2,ug/m3,9.2,
271,2023,March,01-03-2023,01:00,MALAKPET,NH3,ug/m3,8.52,
272,2023,March,01-03-2023,01:00,MALAKPET,Ozone,ug/m3,11.08,
273,2023,March,01-03-2023,01:00,MALAKPET,Benzene,ug/m3,1.04,
274,2023,March,01-03-2023,01:00,MALAKPET,ETHBENZ,ug/m3,1.83,
275,2023,March,01-03-2023,01:00,MALAKPET,MP-Xylene,ug/m3,3.03,
276,2023,March,01-03-2023,01:00,MALAKPET,Xylene,ug/m3,4.19,
277,2023,March,01-03-2023,01:00,MALAKPET,SR,W/m2,0,
278,2023,March,01-03-2023,01:00,MALAKPET,Temp,degreC,26.76,
279,2023,March,01-03-2023,01:00,MALAKPET,RH,%,41.88,
280,2023,March,01-03-2023,01:00,MALAKPET,WD,DEGREE,183.69,
281,2023,March,01-03-2023,01:00,MALAKPET,WS,m/s,0.07,
282,2023,March,01-03-2023,01:00,MALAKPET,Toluene,ug/m3,0.62,
498,2023,March,01-03-2023,02:00,MALAKPET,NO2,ug/m3,9.41,
499,2023,March,01-03-2023,02:00,MALAKPET,RH,%,42.5,
500,2023,March,01-03-2023,02:00,MALAKPET,WD,DEGREE,157.73,
501,2023,March,01-03-2023,02:00,MALAKPET,SR,W/m2,0,
502,2023,March,01-03-2023,02:00,MALAKPET,SO2,ug/m3,9.88,
503,2023,March,01-03-2023,02:00,MALAKPET,CO,mg/m3,0.43,
504,2023,March,01-03-2023,02:00,MALAKPET,NOx,ppb,14.71,
505,2023,March,01-03-2023,02:00,MALAKPET,NH3,ug/m3,8.51,
506,2023,March,01-03-2023,02:00,MALAKPET,NO,ug/m3,5.48,
507,2023,March,01-03-2023,02:00,MALAKPET,PM10,ug/m3,81.1,
508,2023,March,01-03-2023,02:00,MALAKPET,WS,m/s,0.07,
509,2023,March,01-03-2023,02:00,MALAKPET,PM2.5,ug/m3,20.61,
510,2023,March,01-03-2023,02:00,MALAKPET,Temp,degreC,25.67,
511,2023,March,01-03-2023,02:00,MALAKPET,Ozone,ug/m3,11.23,
512,2023,March,01-03-2023,02:00,MALAKPET,Toluene,ug/m3,0.62,
513,2023,March,01-03-2023,02:00,MALAKPET,Benzene,ug/m3,1.06,
