_id,year,month,date,time,location,indicator,unit,value,note
188,2023,May,01-05-2023,01:00,MALAKPET,Temp,degreC,28.53,
189,2023,May,01-05-2023,01:00,MALAKPET,PM2.5,ug/m3,39.06,
190,2023,May,01-05-2023,01:00,MALAKPET,Toluene,ug/m3,1.54,
191,2023,May,01-05-2023,01:00,MALAKPET,RH,%,99.94,
192,2023,May,01-05-2023,01:00,MALAKPET,NO,ug/m3,4.5,
193,2023,May,01-05-2023,01:00,MALAKPET,NOx,ppb,14.24,
194,2023,May,01-05-2023,01:00,MALAKPET,ETHBENZ,ug/m3,1.95,
195,2023,May,01-05-2023,01:00,MALAKPET,Xylene,ug/m3,2.99,
196,2023,May,01-05-2023,01:00,MALAKPET,MP-Xylene,ug/m3,2.68,
197,2023,May,01-05-2023,01:00,MALAKPET,SR,W/m2,0,
198,2023,May,01-05-2023,01:00,MALAKPET,SO2,ug/m3,9.47,
199,2023,May,01-05-2023,01:00,MALAKPET,NO2,ug/m3,9.98,
200,2023,May,01-05-2023,01:00,MALAKPET,Ozone,ug/m3,9.24,
201,2023,May,01-05-2023,01:00,MALAKPET,NH3,ug/m3,8.72,
202,2023,May,01-05-2023,01:00,MALAKPET,WS,m/s,0.02,
203,2023,May,01-05-2023,01:00,MALAKPET,CO,mg/m3,2.64,
204,2023,May,01-05-2023,01:00,MALAKPET,PM10,ug/m3,59.98,
205,2023,May,01-05-2023,01:00,MALAKPET,WD,DEGREE,348.61,
206,2023,May,01-05-2023,01:00,MALAKPET,Benzene,ug/m3,2.56,
356,2023,May,01-05-2023,02:00,MALAKPET,Benzene,ug/m3,2.57,
357,2023,May,01-05-2023,02:00,MALAKPET,MP-Xylene,ug/m3,2.61,
358,2023,May,01-05-2023,02:00,MALAKPET,CO,mg/m3,0.54,
359,2023,May,01-05-2023,02:00,MALAKPET,NO,ug/m3,4.49,
360,2023,May,01-05-2023,02:00,MALAKPET,NH3,ug/m3,8.64,
361,2023,May,01-05-2023,02:00,MALAKPET,Ozone,ug/m3,12.47,
362,2023,May,01-05-2023,02:00,MALAKPET,NOx,ppb,14.48,
363,2023,May,01-05-2023,02:00,MALAKPET,Toluene,ug/m3,1.62,
364,2023,May,01-05-2023,02:00,MALAKPET,ETHBENZ,ug/m3,1.96,
365,2023,May,01-05-2023,02:00,MALAKPET,NO2,ug/m3,9.92,
366,2023,May,01-05-2023,02:00,MALAKPET,PM10,ug/m3,58.01,
367,2023,May,01-05-2023,02:00,MALAKPET,Temp,degreC,28.68,
368,2023,May,01-05-2023,02:00,MALAKPET,PM2.5,ug/m3,33.45,
369,2023,May,01-05-2023,02:00,MALAKPET,RH,%,99.88,
370,2023,May,01-05-2023,02:00,MALAKPET,WS,m/s,0.02,
371,2023,May,01-05-2023,02:00,MALAKPET,WD,DEGREE,99.25,
372,2023,May,01-05-2023,02:00,MALAKPET,Xylene,ug/m3,2.97,
373,2023,May,01-05-2023,02:00,MALAKPET,SR,W/m2,0,
374,2023,May,01-05-2023,02:00,MALAKPET,SO2,ug/m3,9.45,
524,2023,May,01-05-2023,03:00,MALAKPET,NH3,ug/m3,8.59,
525,2023,May,01-05-2023,03:00,MALAKPET,WS,m/s,0.01,
526,2023,May,01-05-2023,03:00,MALAKPET,Ozone,ug/m3,13.52,
527,2023,May,01-05-2023,03:00,MALAKPET,WD,DEGREE,254.82,
528,2023,May,01-05-2023,03:00,MALAKPET,MP-Xylene,ug/m3,2.62,
529,2023,May,01-05-2023,03:00,MALAKPET,SR,W/m2,0,
530,2023,May,01-05-2023,03:00,MALAKPET,ETHBENZ,ug/m3,1.96,
531,2023,May,01-05-2023,03:00,MALAKPET,Temp,degreC,26.96,
532,2023,May,01-05-2023,03:00,MALAKPET,Toluene,ug/m3,1.54,
533,2023,May,01-05-2023,03:00,MALAKPET,RH,%,99.85,
534,2023,May,01-05-2023,03:00,MALAKPET,Benzene,ug/m3,2.57,
535,2023,May,01-05-2023,03:00,MALAKPET,Xylene,ug/m3,3,
536,2023,May,01-05-2023,03:00,MALAKPET,SO2,ug/m3,9.53,
537,2023,May,01-05-2023,03:00,MALAKPET,NO2,ug/m3,9.91,
538,2023,May,01-05-2023,03:00,MALAKPET,CO,mg/m3,0.43,
539,2023,May,01-05-2023,03:00,MALAKPET,PM2.5,ug/m3,30.6,
540,2023,May,01-05-2023,03:00,MALAKPET,PM10,ug/m3,58.45,
541,2023,May,01-05-2023,03:00,MALAKPET,NOx,ppb,14.55,
542,2023,May,01-05-2023,03:00,MALAKPET,NO,ug/m3,4.53,
692,2023,May,01-05-2023,04:00,MALAKPET,NOx,ppb,14.58,
693,2023,May,01-05-2023,04:00,MALAKPET,Xylene,ug/m3,3.01,
694,2023,May,01-05-2023,04:00,MALAKPET,CO,mg/m3,0.24,
695,2023,May,01-05-2023,04:00,MALAKPET,ETHBENZ,ug/m3,1.94,
696,2023,May,01-05-2023,04:00,MALAKPET,MP-Xylene,ug/m3,2.63,
697,2023,May,01-05-2023,04:00,MALAKPET,SO2,ug/m3,9.73,
698,2023,May,01-05-2023,04:00,MALAKPET,WD,DEGREE,133.58,
699,2023,May,01-05-2023,04:00,MALAKPET,PM10,ug/m3,69.8,
700,2023,May,01-05-2023,04:00,MALAKPET,SR,W/m2,0,
701,2023,May,01-05-2023,04:00,MALAKPET,PM2.5,ug/m3,36.64,
702,2023,May,01-05-2023,04:00,MALAKPET,RH,%,99.93,
703,2023,May,01-05-2023,04:00,MALAKPET,Temp,degreC,27.89,
704,2023,May,01-05-2023,04:00,MALAKPET,WS,m/s,0.01,
705,2023,May,01-05-2023,04:00,MALAKPET,NO,ug/m3,4.49,
706,2023,May,01-05-2023,04:00,MALAKPET,NH3,ug/m3,8.57,
707,2023,May,01-05-2023,04:00,MALAKPET,NO2,ug/m3,10.03,
708,2023,May,01-05-2023,04:00,MALAKPET,Ozone,ug/m3,13.37,
709,2023,May,01-05-2023,04:00,MALAKPET,Benzene,ug/m3,2.62,
710,2023,May,01-05-2023,04:00,MALAKPET,Toluene,ug/m3,1.53,
860,2023,May,01-05-2023,05:00,MALAKPET,Xylene,ug/m3,2.96,
861,2023,May,01-05-2023,05:00,MALAKPET,NO2,ug/m3,10.02,
862,2023,May,01-05-2023,05:00,MALAKPET,WD,DEGREE,169.19,
863,2023,May,01-05-2023,05:00,MALAKPET,PM10,ug/m3,64.84,
864,2023,May,01-05-2023,05:00,MALAKPET,SO2,ug/m3,9.75,
865,2023,May,01-05-2023,05:00,MALAKPET,PM2.5,ug/m3,31.75,
866,2023,May,01-05-2023,05:00,MALAKPET,Toluene,ug/m3,1.49,
867,2023,May,01-05-2023,05:00,MALAKPET,Temp,degreC,30.36,
868,2023,May,01-05-2023,05:00,MALAKPET,Ozone,ug/m3,13.94,
869,2023,May,01-05-2023,05:00,MALAKPET,RH,%,99.97,
870,2023,May,01-05-2023,05:00,MALAKPET,SR,W/m2,0,
871,2023,May,01-05-2023,05:00,MALAKPET,Benzene,ug/m3,2.55,
872,2023,May,01-05-2023,05:00,MALAKPET,NOx,ppb,14.62,
873,2023,May,01-05-2023,05:00,MALAKPET,NO,ug/m3,4.43,
874,2023,May,01-05-2023,05:00,MALAKPET,NH3,ug/m3,8.55,
875,2023,May,01-05-2023,05:00,MALAKPET,ETHBENZ,ug/m3,1.95,
876,2023,May,01-05-2023,05:00,MALAKPET,CO,mg/m3,0.19,
877,2023,May,01-05-2023,05:00,MALAKPET,WS,m/s,0.05,
878,2023,May,01-05-2023,05:00,MALAKPET,MP-Xylene,ug/m3,2.61,
1028,2023,May,01-05-2023,06:00,MALAKPET,WS,m/s,0.07,
1029,2023,May,01-05-2023,06:00,MALAKPET,WD,DEGREE,179.83,
1030,2023,May,01-05-2023,06:00,MALAKPET,PM10,ug/m3,61.36,
1031,2023,May,01-05-2023,06:00,MALAKPET,NH3,ug/m3,8.64,
1032,2023,May,01-05-2023,06:00,MALAKPET,RH,%,99.91,
1033,2023,May,01-05-2023,06:00,MALAKPET,Toluene,ug/m3,1.55,
1034,2023,May,01-05-2023,06:00,MALAKPET,PM2.5,ug/m3,28.33,
1035,2023,May,01-05-2023,06:00,MALAKPET,Xylene,ug/m3,2.93,
1036,2023,May,01-05-2023,06:00,MALAKPET,Benzene,ug/m3,2.53,
1037,2023,May,01-05-2023,06:00,MALAKPET,NO2,ug/m3,10,
1038,2023,May,01-05-2023,06:00,MALAKPET,CO,mg/m3,0.3,
